multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio
550,FVIOUHP,1932-01-01,08:20,75.0,60,RUTA 9,,IMPAGA,15.0,12.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,85.71
564,6611172,1932-01-01,14:18,118.0,80,AV LIBERTADOR,R03,APELADA,38.0,34.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,100.0
568,BHRP770,2022-09-06,08:20,153.0,80,RUTA 9,R03,ERROR,73.0,69.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
569,FD1475,2022-02-23,09:26,132.0,60,AV SIEMPRE VIVA,,APELADA,72.0,69.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,90.91
571,FVIOUHP,1932-01-01,09:26,87.0,60,RUTA 9,R01,IMPAGA,27.0,24.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,85.71
578,HF3461,1932-01-01,09:27,126.0,80,AV SIEMPRE VIVA,R02,APELADA,46.0,42.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,100.0
587,HF3461,2021-04-15,00:00,100.0,40,AV SIEMPRE VIVA,R01,PAGADA,60.0,58.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,100.0
589,J1S1,1932-01-01,09:27,145.0,80,RUTA 9,,PAGADA,65.0,61.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,100.0
608,FD1475,2020-10-21,08:22,113.0,80,AV LIBERTADOR,R02,APELADA,33.0,29.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,90.91
615,GOOGLE,1932-01-01,18:28,116.0,80,RUTA 9,R03,APELADA,36.0,32.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,SGOOGLE,92.31
616,HF58HXP,2022-10-22,14:21,76.0,60,AV SIEMPRE VIVA,R02,PAGADA,16.0,13.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,85.71
622,VNK296GP,2020-06-03,09:29,69.0,40,AV LIBERTADOR,,ERROR,29.0,27.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/16789af24af158d8_patente.jp2,NK226GP,80.0
626,589222,1932-01-01,09:29,131.0,80,AV SIEMPRE VIVA,R02,PAGADA,51.0,47.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/246a0e4264a39433_patente.jpg,589222,100.0
627,M431ZW,1932-01-01,18:28,146.0,80,AV SIEMPRE VIVA,R02,ERROR,66.0,62.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
629,FVIOUHP,1932-01-01,00:00,88.0,40,AV SIEMPRE VIVA,R02,APELADA,48.0,46.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,85.71
636,BB8986,1932-01-01,00:00,101.0,60,RUTA 9,R03,ERROR,41.0,38.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
637,FVIOUHP,2021-03-30,08:23,139.0,60,AV SIEMPRE VIVA,R03,IMPAGA,79.0,76.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,85.71
639,MPX9357,2022-11-28,14:21,134.0,60,RUTA 9,R02,IMPAGA,74.0,71.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/182268e1f8c6525f_patente.jpg,MPX9357,100.0
644,VNK296GP,2022-09-18,18:29,116.0,40,RUTA 9,R03,ERROR,76.0,74.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/16789af24af158d8_patente.jp2,NK226GP,80.0
647,HK06YMX,2020-09-30,14:22,95.0,80,RUTA 9,R03,IMPAGA,15.0,11.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,85.71
649,5777770,2023-12-25,09:30,104.0,60,RUTA 9,,IMPAGA,44.0,41.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,100.0
655,MPX9357,2021-11-19,14:22,137.0,80,AV SIEMPRE VIVA,,PAGADA,57.0,53.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/182268e1f8c6525f_patente.jpg,MPX9357,100.0
665,J1S1,2023-04-18,08:24,75.0,60,RUTA 9,R02,PAGADA,15.0,12.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,100.0
682,AI7OVF,2021-04-24,14:24,67.0,40,AV LIBERTADOR,,ERROR,27.0,25.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
684,AI7OVF,1932-01-01,18:31,113.0,60,AV LIBERTADOR,R03,APELADA,53.0,50.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
686,VY90540,2023-01-31,00:00,131.0,80,AV LIBERTADOR,,IMPAGA,51.0,47.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente.jpg,VY90540,100.0
689,BHRP770,1932-01-01,18:31,114.0,80,AV SIEMPRE VIVA,,IMPAGA,34.0,30.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
690,VY90540,2020-07-18,18:32,119.0,80,AV LIBERTADOR,,APELADA,39.0,35.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente.jpg,VY90540,100.0
712,HF3461,1932-01-01,18:32,119.0,40,AV SIEMPRE VIVA,R03,ERROR,79.0,77.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,100.0
713,BHRP770,2020-12-12,00:00,119.0,80,AV LIBERTADOR,R01,APELADA,39.0,35.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
725,XIIUME,2020-04-04,14:25,97.0,80,AV SIEMPRE VIVA,,APELADA,17.0,13.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,100.0
727,HF58HXP,1932-01-01,08:26,69.0,60,AV LIBERTADOR,R01,IMPAGA,9.0,6.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,85.71
731,MPX9357,2023-05-23,18:33,107.0,40,AV LIBERTADOR,,ERROR,67.0,65.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/182268e1f8c6525f_patente.jpg,MPX9357,100.0
732,CT5B876,2021-11-01,14:25,88.0,80,AV SIEMPRE VIVA,R01,IMPAGA,8.0,4.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,85.71
733,2999961,2020-06-05,00:00,127.0,60,RUTA 9,R01,APELADA,67.0,64.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,100.0
734,FVIOUHP,2020-12-03,08:26,111.0,80,AV SIEMPRE VIVA,R03,PAGADA,31.0,27.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,85.71
741,HF3461,1932-01-01,14:26,130.0,80,RUTA 9,,IMPAGA,50.0,46.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,100.0
745,GOOGLE,2021-11-15,14:26,112.0,80,AV SIEMPRE VIVA,R02,ERROR,32.0,28.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,SGOOGLE,92.31
755,FD1475,2020-04-08,00:00,85.0,40,AV LIBERTADOR,R03,ERROR,45.0,43.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,90.91
758,81ZFJD,1932-01-01,18:34,158.0,80,RUTA 9,,IMPAGA,78.0,74.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/02a6ef3d9bd68e91_patente.jpg,81ZFD,90.91
763,GCP332,2023-10-15,18:35,111.0,80,RUTA 9,,IMPAGA,31.0,27.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,G0GCP332,85.71
765,BB8986,2021-11-25,08:28,97.0,40,AV SIEMPRE VIVA,,IMPAGA,57.0,55.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
776,J1S1,2022-04-21,18:36,89.0,40,RUTA 9,R01,IMPAGA,49.0,47.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,100.0
783,HF58HXP,1932-01-01,08:29,90.0,60,AV SIEMPRE VIVA,R01,PAGADA,30.0,27.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,85.71
784,BB8986,2022-01-28,18:36,82.0,60,RUTA 9,R02,IMPAGA,22.0,19.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
792,589222,2021-09-25,18:37,153.0,80,AV SIEMPRE VIVA,R02,APELADA,73.0,69.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/246a0e4264a39433_patente.jpg,589222,100.0
795,MVU4688,2022-03-25,14:28,152.0,80,AV SIEMPRE VIVA,,APELADA,72.0,68.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,100.0
806,81ZFJD,2020-11-02,14:29,94.0,80,AV SIEMPRE VIVA,,APELADA,14.0,10.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/02a6ef3d9bd68e91_patente.jpg,81ZFD,90.91
807,W326AVE,2023-08-15,08:30,82.0,60,RUTA 9,R02,APELADA,22.0,19.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,100.0
808,XIIUME,2020-08-21,14:29,157.0,80,RUTA 9,R03,ERROR,77.0,73.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,100.0
814,M431ZW,1932-01-01,00:00,132.0,60,AV LIBERTADOR,R01,APELADA,72.0,69.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
821,BM351,2020-07-04,00:00,116.0,80,RUTA 9,R01,IMPAGA,36.0,32.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,100.0
823,6611172,2022-02-01,08:31,136.0,80,AV LIBERTADOR,R03,ERROR,56.0,52.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,100.0
824,J1S1,2021-09-29,09:38,108.0,40,AV SIEMPRE VIVA,,ERROR,68.0,66.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,100.0
827,HF58HXP,1932-01-01,18:38,153.0,80,RUTA 9,R03,IMPAGA,73.0,69.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,85.71
837,BM351,2022-12-05,08:32,104.0,80,AV SIEMPRE VIVA,,IMPAGA,24.0,20.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,100.0
841,M431ZW,2020-08-28,00:00,114.0,60,AV SIEMPRE VIVA,R03,ERROR,54.0,51.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
842,AI7OVF,2020-11-19,14:30,54.0,40,AV LIBERTADOR,R03,PAGADA,14.0,12.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
847,UM96201,2021-06-18,18:38,135.0,60,AV SIEMPRE VIVA,R02,APELADA,75.0,72.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,100.0
882,BB8986,2022-07-16,14:32,124.0,80,AV LIBERTADOR,R01,APELADA,44.0,40.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
883,589222,2023-04-23,14:32,111.0,80,AV LIBERTADOR,,IMPAGA,31.0,27.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/246a0e4264a39433_patente.jpg,589222,100.0
887,CT5B876,1932-01-01,00:00,83.0,40,RUTA 9,R02,ERROR,43.0,41.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,85.71
890,BP717,2022-08-23,08:33,133.0,60,AV LIBERTADOR,R03,APELADA,73.0,70.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/e1120bfe48f85c1b_patente.jpg,BP717,100.0
897,MVU4688,2023-09-01,08:33,90.0,60,AV LIBERTADOR,R03,IMPAGA,30.0,27.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,100.0
900,BM351,2020-09-04,08:34,85.0,40,AV SIEMPRE VIVA,R01,PAGADA,45.0,43.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,100.0
902,HF3461,2020-02-24,14:33,123.0,60,AV LIBERTADOR,,PAGADA,63.0,60.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,100.0
909,691XC80,2022-09-12,08:34,117.0,80,AV LIBERTADOR,R02,IMPAGA,37.0,33.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
914,UM96201,2021-05-06,18:41,96.0,80,AV LIBERTADOR,R01,APELADA,16.0,12.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,100.0
915,J1S1,2022-05-29,08:34,105.0,60,RUTA 9,R03,IMPAGA,45.0,42.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,100.0
939,691XC80,2021-07-12,14:34,49.0,40,AV LIBERTADOR,,IMPAGA,9.0,7.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
945,BHRP770,2021-03-11,00:00,95.0,60,AV LIBERTADOR,,APELADA,35.0,32.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
946,2999961,2022-08-30,00:00,97.0,80,AV SIEMPRE VIVA,R02,PAGADA,17.0,13.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,100.0
971,FVIOUHP,1932-01-01,09:44,119.0,60,RUTA 9,R01,ERROR,59.0,56.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,85.71
973,HK06YMX,1932-01-01,09:44,121.0,60,AV LIBERTADOR,R02,PAGADA,61.0,58.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,85.71
975,MVU4688,2023-08-25,18:43,132.0,60,AV LIBERTADOR,R03,ERROR,72.0,69.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,100.0
977,BB8986,2022-03-14,09:44,81.0,60,RUTA 9,R02,PAGADA,21.0,18.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
979,XIIUME,2023-06-18,14:36,68.0,60,AV SIEMPRE VIVA,R03,APELADA,8.0,5.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,100.0
982,BM351,2020-11-04,14:36,81.0,40,AV LIBERTADOR,R03,ERROR,41.0,39.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,100.0
995,VY90540,2021-03-27,14:36,89.0,60,AV LIBERTADOR,R03,IMPAGA,29.0,26.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente.jpg,VY90540,100.0
1000,691XC80,2020-11-13,00:00,121.0,60,AV LIBERTADOR,R02,APELADA,61.0,58.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
1009,HF3461,2023-02-15,18:45,132.0,80,AV SIEMPRE VIVA,R03,APELADA,52.0,48.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,100.0
1012,HF3461,2020-06-03,00:00,74.0,40,RUTA 9,,ERROR,34.0,32.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,100.0
1016,BP717,1932-01-01,18:45,82.0,60,AV SIEMPRE VIVA,R03,APELADA,22.0,19.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/e1120bfe48f85c1b_patente.jpg,BP717,100.0
1018,3646HBH,2022-08-08,18:45,126.0,60,AV SIEMPRE VIVA,R03,ERROR,66.0,63.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,100.0
1026,81ZFJD,2021-02-08,08:40,119.0,40,RUTA 9,R03,APELADA,79.0,77.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/02a6ef3d9bd68e91_patente.jpg,81ZFD,90.91
1027,HF3461,1932-01-01,08:40,117.0,60,AV SIEMPRE VIVA,,APELADA,57.0,54.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,100.0
1032,MVU4688,2020-01-22,09:46,138.0,60,RUTA 9,R03,IMPAGA,78.0,75.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,100.0
1035,VY90540,2023-09-24,08:41,118.0,40,AV LIBERTADOR,R02,PAGADA,78.0,76.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente.jpg,VY90540,100.0
1037,HF58HXP,2021-03-22,00:00,91.0,80,RUTA 9,R01,IMPAGA,11.0,7.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,85.71
1049,GOOGLE,1932-01-01,09:47,86.0,40,AV SIEMPRE VIVA,R01,ERROR,46.0,44.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,SGOOGLE,92.31
1050,GOOGLE,2023-04-07,00:00,69.0,60,AV LIBERTADOR,,APELADA,9.0,6.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,SGOOGLE,92.31
1053,691XC80,1932-01-01,08:41,129.0,60,AV LIBERTADOR,R03,ERROR,69.0,66.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
1058,BM351,2023-10-20,09:47,135.0,80,AV LIBERTADOR,,IMPAGA,55.0,51.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,100.0
1062,UM96201,2023-08-10,18:47,93.0,60,AV LIBERTADOR,R03,PAGADA,33.0,30.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,100.0
1065,HF3461,1932-01-01,08:42,120.0,80,AV SIEMPRE VIVA,,PAGADA,40.0,36.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/a6e3b0b73220cd32_patente.jpg,HF3461,100.0
1068,GOOGLE,2023-05-04,14:39,45.0,40,AV SIEMPRE VIVA,,PAGADA,5.0,3.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,SGOOGLE,92.31
1085,81ZFJD,2023-06-08,18:48,123.0,80,AV LIBERTADOR,R01,IMPAGA,43.0,39.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/02a6ef3d9bd68e91_patente.jpg,81ZFD,90.91
1090,6611172,2024-02-06,00:00,136.0,80,AV SIEMPRE VIVA,R03,PAGADA,56.0,52.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,100.0
1091,FVIOUHP,2022-05-08,14:40,142.0,80,AV LIBERTADOR,R01,APELADA,62.0,58.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,85.71
1097,M431ZW,1932-01-01,00:00,69.0,60,AV LIBERTADOR,R02,PAGADA,9.0,6.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
1102,FD1475,2023-06-12,09:49,140.0,80,RUTA 9,R02,ERROR,60.0,56.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,90.91
1105,W326AVE,2023-08-20,14:41,96.0,40,AV LIBERTADOR,,ERROR,56.0,54.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,100.0
1117,BHRP770,2020-01-14,09:49,158.0,80,RUTA 9,,APELADA,78.0,74.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
1125,3646HBH,2021-08-03,08:44,142.0,80,AV LIBERTADOR,,ERROR,62.0,58.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,100.0
1127,2999961,2023-11-10,00:00,88.0,60,AV LIBERTADOR,R02,APELADA,28.0,25.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,100.0
1129,XIIUME,1932-01-01,14:42,158.0,80,AV SIEMPRE VIVA,R03,IMPAGA,78.0,74.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,100.0
1141,J1S1,1932-01-01,00:00,91.0,40,AV SIEMPRE VIVA,R03,APELADA,51.0,49.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,100.0
1145,6611172,2022-11-05,00:00,150.0,80,AV LIBERTADOR,,ERROR,70.0,66.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,100.0
1147,AI7OVF,2020-03-16,14:42,114.0,60,AV LIBERTADOR,R01,ERROR,54.0,51.0,/content/Urban_Flow-Villalba_Ezequiel/urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
